source,Precision,Recall,F1_score,Top 1 Accuracy,Top 3 Accuracy,Percentage of unsure
Base-distill-Llama-8B,36.29,39.62,30.94,46.43,71.43,0.0
base-Distill-Qwen-1.5B,4.97,8.93,6.11,3.45,17.24,10.34
